Time;Iterations;warmUp
0:00:01;0;true
0:00:02;3;2389.674743;true
0:00:03;6;1088.293555;true
0:00:04;9;4201.602326;true
0:00:05;13;5438.210759;true
0:00:06;18;6356.753619;true
0:00:07;24;4483.890066;true
0:00:08;30;3605.895426;true
0:00:09;36;3228.241983;true
0:00:10;43;10500.270101;true
0:00:11;51;11519.511398;true
0:00:12;58;12341.576752;true
0:00:13;63;5419.600127;true
0:00:14;71;4984.835835;true
0:00:15;77;5110.693409;true
0:00:16;84;5153.129431;true
0:00:17;91;5390.429434;true
0:00:18;100;18430.974212;true
0:00:19;107;19408.793953;true
0:00:20;114;7230.236059;true
0:00:21;124;6992.03782;true
0:00:22;131;6729.803138;true
0:00:23;140;6504.144088;true
0:00:24;149;6386.721249;true
0:00:25;159;6135.556722;true
0:00:26;168;26501.007238;true
0:00:27;175;27534.357218;true
0:00:28;184;7762.913876;true
0:00:29;195;7649.234907;true
0:00:01;0;7375.958349;false
0:00:02;0;7552.228675;false
0:00:03;0;7771.406913;false
0:00:04;0;7698.506606;false
0:00:05;0;35513.190539;false
0:00:06;0;36494.124344;false
0:00:07;0;37567.260065;false
0:00:08;0;10229.559106;false
0:00:09;0;10459.743221;false
0:00:10;0;10890.135232;false
0:00:11;9;10959.702085;false
0:00:12;18;10872.44851;false
0:00:13;27;10764.898028;false
0:00:14;34;10865.432868;false
0:00:15;43;10802.048755;false
0:00:16;52;10758.736769;false
0:00:17;61;10389.950633;false
0:00:18;65;48537.492688;false
0:00:19;65;49510.827961;false
0:00:20;75;11277.657512;false
0:00:21;85;10900.354189;false
0:00:22;93;11002.327733;false
0:00:23;103;10967.476123;false
0:00:24;113;10624.971553;false
0:00:25;122;10572.105403;false
0:00:26;132;10453.628292;false
0:00:27;141;10355.671697;false
0:00:28;150;10460.591919;false
0:00:29;159;10680.905976;false
0:00:30;168;10725.965288;false
0:00:31;176;10894.480944;false
0:00:32;186;10925.948629;false
0:00:33;194;10948.951867;false
0:00:34;201;11230.245198;false
0:00:35;208;11490.683817;false
0:00:36;217;11642.348264;false
0:00:37;228;11470.272185;false
0:00:38;238;11422.497285;false
0:00:40;246;11547.638355;false
0:00:41;253;11727.517784;false
0:00:42;261;11747.96237;false
0:00:43;270;11816.438716;false
0:00:44;279;11758.773885;false
0:00:45;289;11690.822482;false
0:00:46;299;11399.394074;false
0:00:47;307;11143.40884;false
0:00:48;316;11091.395964;false
0:00:49;325;11166.858234;false
0:00:50;333;11603.984031;false
0:00:51;344;11284.34997;false
0:00:52;354;10754.090605;false
0:00:53;365;10640.735888;false
0:00:54;374;10567.650884;false
0:00:55;384;10499.811645;false
0:00:56;393;10648.958798;false
0:00:57;403;10355.541137;false
0:00:58;410;10646.726455;false
0:00:59;418;10778.374823;false
0:01:00;429;10467.844756;false
0:01:01;439;10453.767939;false
0:01:02;451;10434.491158;false
0:01:03;461;10295.954875;false
0:01:04;470;10358.958308;false
0:01:05;477;10639.106874;false
0:01:06;487;10563.996202;false
0:01:07;497;10658.334427;false
0:01:08;506;10375.250968;false
0:01:09;516;10103.350648;false
0:01:10;528;10028.675656;false
0:01:11;537;10151.236998;false
0:01:12;546;10361.866783;false
0:01:13;554;10559.555453;false
0:01:14;562;10807.399679;false
0:01:15;571;10639.435858;false
0:01:16;582;10496.577898;false
0:01:17;591;10483.846697;false
0:01:18;599;10636.396682;false
0:01:19;608;10784.07704;false
0:01:20;618;10778.593752;false
0:01:21;626;11072.132607;false
0:01:22;634;11229.860684;false
0:01:23;641;11347.142166;false
0:01:24;648;11600.497129;false
0:01:25;657;11624.133424;false
0:01:26;667;11333.903883;false
0:01:27;678;11333.875453;false
0:01:28;688;11281.398591;false
0:01:29;699;10966.851458;false
0:01:30;710;10754.400601;false
0:01:31;720;10609.143258;false
0:01:32;730;10489.51601;false
0:01:33;741;9942.362233;false
0:01:34;752;9506.678186;false
0:01:35;761;20981.892031;false
0:01:36;771;9494.210287;false
0:01:37;780;9685.301199;false
0:01:38;790;9724.412262;false
0:01:39;801;9767.3323;false
0:01:40;810;9811.811937;false
0:01:41;820;9926.471582;false
0:01:42;830;9918.295848;false
0:01:43;840;10038.285908;false
0:01:44;851;10050.12377;false
0:01:45;860;19458.644811;false
0:01:46;871;9900.577242;false
0:01:47;883;9764.346757;false
0:01:48;894;9642.491719;false
0:01:49;908;9673.169732;false
0:01:50;918;9653.993952;false
0:01:51;929;9535.705912;false
0:01:52;940;9426.608899;false
0:01:53;948;9628.544277;false
0:01:54;958;9564.634344;false
0:01:55;969;9639.724837;false
0:01:56;980;9762.860349;false
0:01:57;989;9948.474457;false
0:01:58;1001;9846.761679;false
0:01:59;1009;9867.778157;false
0:02:00;1018;9983.806454;false
0:02:01;1029;10021.877879;false
0:02:02;1039;10102.601188;false
0:02:03;1048;9957.416072;false
0:02:04;1058;10090.000031;false
0:02:05;1067;10109.227382;false
0:02:06;1078;10172.018809;false
0:02:07;1087;10167.316696;false
0:02:08;1097;10212.459776;false
0:02:09;1107;10225.28746;false
0:02:10;1118;9996.234141;false
0:02:11;1130;9790.546184;false
0:02:12;1140;9761.574639;false
0:02:13;1150;9693.579661;false
0:02:14;1161;9667.604886;false
0:02:15;1173;9512.192192;false
0:02:16;1183;9415.904982;false
0:02:17;1194;9325.147032;false
0:02:18;1202;9402.556759;false
0:02:19;1211;9662.152433;false
0:02:21;1224;9920.089007;false
0:02:22;1236;9899.092871;false
0:02:23;1246;9891.90112;false
0:02:24;1256;9932.562865;false
0:02:25;1267;9901.428423;false
0:02:26;1278;9853.637027;false
0:02:27;1293;9979.739557;false
0:02:28;1303;9824.089313;false
0:02:29;1314;9430.072028;false
0:02:30;1325;9414.022232;false
0:02:31;1334;9515.262757;false
0:02:32;1345;9588.648311;false
0:02:34;1361;9566.460256;false
0:02:35;1371;9559.463118;false
0:02:36;1381;9657.322406;false
0:02:37;1391;9564.214018;false
0:02:38;1403;9449.894357;false
0:02:39;1414;9468.646;false
0:02:40;1424;9497.807717;false
0:02:41;1434;9433.111596;false
0:02:42;1444;9466.313666;false
0:02:43;1454;9428.194181;false
0:02:44;1465;9457.090633;false
0:02:45;1476;9413.441437;false
0:02:46;1486;9372.439027;false
0:02:47;1495;9512.151825;false
0:02:48;1506;9611.607637;false
0:02:49;1517;9568.462459;false
0:02:50;1532;9611.945781;false
0:02:51;1543;9475.608168;false
0:02:53;1559;9488.707563;false
0:02:54;1576;9461.785623;false
0:02:56;1592;9361.297188;false
0:02:57;1602;9288.353447;false
0:02:58;1613;9266.874399;false
0:02:59;1627;9411.103493;false
0:03:00;1635;9707.361082;false
0:03:01;1645;9740.985605;false
0:03:03;1661;9728.335795;false
0:03:04;1671;9867.80538;false
0:03:05;1680;9853.6431;false
0:03:06;1692;9880.438645;false
0:03:07;1708;9864.200585;false
0:03:08;1720;9838.55956;false
0:03:09;1731;9276.804431;false
0:03:10;1743;9121.588306;false
0:03:11;1753;18852.660423;false
0:03:12;1764;9102.892114;false
0:03:14;1780;8916.394361;false
0:03:15;1791;9003.483047;false
0:03:16;1801;9058.312949;false
0:03:17;1812;9118.289614;false
0:03:18;1822;9205.54811;false
0:03:19;1833;9292.245279;false
0:03:20;1848;9501.164504;false
0:03:21;1859;9418.075271;false
0:03:22;1871;9342.108001;false
0:03:24;1884;9600.41266;false
0:03:25;1896;9441.391724;false
0:03:26;1906;9401.64262;false
0:03:27;1918;9338.083064;false
0:03:28;1928;9456.706851;false
0:03:29;1944;9218.712139;false
0:03:30;1954;9335.766286;false
0:03:31;1967;9280.908156;false
0:03:33;1983;9038.624629;false
0:03:34;1999;9167.163228;false
0:03:35;2009;9227.528053;false
0:03:36;2020;9282.374405;false
0:03:37;2031;9122.987843;false
0:03:38;2042;9123.45939;false
0:03:39;2052;9236.090217;false
0:03:40;2064;9213.302229;false
0:03:41;2074;9346.03947;false
0:03:42;2085;9287.892882;false
0:03:43;2096;9182.404316;false
0:03:44;2107;9218.531079;false
0:03:46;2122;9302.613591;false
0:03:47;2139;9235.400828;false
0:03:48;2151;9049.564425;false
0:03:49;2160;9285.194053;false
0:03:50;2170;9329.6483;false
0:03:51;2181;9321.170353;false
0:03:52;2191;9312.913196;false
0:03:53;2203;9259.444665;false
0:03:54;2212;9381.870032;false
0:03:55;2222;9425.395355;false
0:03:56;2232;9488.628916;false
0:03:57;2243;9541.297759;false
0:03:58;2256;9448.277298;false
0:03:59;2265;9484.196476;false
0:04:00;2276;9496.087165;false
0:04:01;2288;9287.748775;false
0:04:02;2299;9361.866431;false
0:04:03;2309;9341.658614;false
0:04:04;2319;9319.937741;false
0:04:05;2329;9318.788723;false
0:04:06;2341;9229.502803;false
0:04:07;2350;9419.7683;false
0:04:08;2360;9517.246135;false
0:04:09;2371;9406.898753;false
0:04:10;2382;9483.446052;false
0:04:11;2391;9657.8737;false
0:04:12;2401;9669.947184;false
0:04:13;2412;9600.830293;false
0:04:14;2422;9590.753778;false
0:04:15;2433;9613.309437;false
0:04:16;2443;9666.955079;false
0:04:17;2455;9481.272558;false
0:04:18;2466;9469.499629;false
0:04:20;2481;9590.374179;false
0:04:21;2491;9509.825583;false
0:04:22;2502;9427.545716;false
0:04:23;2512;9484.951669;false
0:04:24;2528;9457.166789;false
0:04:25;2539;9452.549927;false
0:04:26;2549;9518.32801;false
0:04:28;2563;9644.077484;false
0:04:29;2575;9620.80334;false
0:04:30;2587;9461.701311;false
0:04:31;2597;9456.022687;false
0:04:32;2609;9357.506769;false
0:04:33;2620;9324.993542;false
0:04:34;2632;9191.749998;false
0:04:35;2643;9138.386209;false
0:04:36;2654;8913.242791;false
0:04:37;2664;8806.81849;false
0:04:38;2674;8999.080679;false
0:04:39;2685;9016.58767;false
0:04:40;2696;9016.848036;false
0:04:41;2708;9067.804458;false
0:04:42;2719;9061.073534;false
0:04:43;2729;9136.108225;false
0:04:44;2740;9117.749308;false
0:04:45;2749;9374.539814;false
0:04:46;2759;9502.245262;false
0:04:47;2770;9357.414898;false
0:04:48;2783;9698.951703;false
0:04:49;2794;9698.656805;false
0:04:50;2806;9664.509637;false
0:04:51;2816;9771.303087;false
0:04:52;2827;9753.87264;false
0:04:53;2839;9724.73199;false
0:04:54;2850;9418.016056;false
0:04:56;2867;9261.026466;false
0:04:57;2877;9165.912764;false
0:04:58;2893;9085.832109;false
0:04:59;2903;9132.291461;false
0:05:00;2904;9142.531465;false
